DISEASE,DISEASE,DISEASE,PATHOGEN,CONTAGIOUSNESS,DEADLINESS,PATHOGEN,PATHOGEN,PATHOGEN,DEADLINESS,DEADLINESS,NOTORIETY,NOTORIETY,NOTORIETY,NOTORIETY,NOTORIETY,NOTORIETY,NOTORIETY,NOTORIETY,INFECTION,INFECTION,INFECTION,INFECTION,INFECTION,INFECTION,INCIDENCE  ,INCIDENCE  ,INCIDENCE  ,INCIDENCE  ,INCIDENCE  ,PREVALENCE,PREVALENCE,DALYs,DALYs,DALYs,DALYs,DALYs,FATALITIES,FATALITIES,FATALITIES,FATALITIES,FATALITIES,FATALITIES,FATALITIES,OTHER INFO,OTHER INFO,OTHER INFO,OTHER INFO,OTHER INFO
ID,Name,Sublabel,Pathogen_type,R0,CFR_adult,Biosafety,Survive_surfaces,Survive_ideal,CFR_adult_grp,CFR_child,Hits,Hits_news,I_news,I_yucky,I_fear,I_ignored,I_attention,I_notoriety,Mode,Dose,Dose_grp,Dose_type,Incubation,Incubation_range,Incidence,Incidence_raw,Incidence_US,Incidence_Eur,Incidence_Af,Prevalence,Prevalence_raw,DALYs,DALYs_raw,DALYs_US,DALYs_Eur,DALYs_Af,Fatal,Fatal_raw,Fatal_US,Fatal_Eur,Fatal_Af,Peak,Peak_year,Vulnerable,Hotspots,Treatment,Effectiveness,Resistance
"Disease ID number, 1-78.",Disease name.,"Disease type, or whether treated / untreated.","Virus, bacterium or parasite.","Basic reproduction number, average estimate. Normally mean of extreme estimates.","Adult case fatality rate (CFR): % of those who contract the disease who die from it. Adults or, if adult data not available, all people.","Biosafety containment / hazard level from 1 to 4. Higher number is more hazardous, more precautions required.","Max. survival time on surfaces, days","Max. survival in ideal conditions outside host or vector (ie. blood, faeces), days","Adult CFR grouped into seven categories: Virtually zero (CFR < 0.1%), very low (0.1% <  1%), low (1% < 10%), moderate (10% < 50%), high (50% < 80%), very high (80% < 100%) and virtually certain (~100%).","Child case fatality rate (CFR), %. Age cutoff varies (where GHDX is source: always 14 and under)","Hits on google.co.uk, retrieved Jan 2018","Hits on google.co.uk, News, date range 2000-2018, data retreived 3/1/2018",Inflammation rating 1: MOST NEWS ATTENTION. News hits as % general hits,Inflammation rating 2: MOST YUCKY. Google news hits per annual death,Inflammation rating 3: MOST FEAR INDUCING. Google hits per annual death,Press vs Contagiousness: MOST IGNORED. Contagiousness / news hits (higher = most ignored),Press vs Incidence: OVER ATTENTION,Notoriety to fatalities rate ratio. Google hits / world case fatality rate,"Primary mode of transmission: air droplets, bites, body fluids, fecal-oral, food and water, other","Minimum infectious dose - minimum pathogen particles required to infect someone (or an animal, where noted)","Minimum infectious dose grouped - minimum pathogen particles required to infect someone (or an animal, where noted). Grouped into log10 categories 1, 10, 100 etc.",Human or animal. Was min. infectious dose ascertained in human or animal studies?,"Incubation period, average number of days","Incubation period, range in days (from X to Y days), plus notes","New cases of disease per year for latest available year, global, millions, rounded","New cases of disease per year for latest available year, global, not rounded","New cases of disease per year for latest available year, United States","New cases of disease per year for latest available year, Europe","New cases of disease per year for latest available year, Africa","Number of current cases, global, rounded, in millions","Number of current cases, global, not rounded","Disability-adjusted life years: Years per year lived with disease or lost to early mortality. Global, millions, rounded.","Disability-adjusted life years: Years per year lived with disease or lost to early mortality. Global, not rounded.",Disability-adjusted life years: Years per year lived with disease or lost to early mortality. United States,Disability-adjusted life years: Years per year lived with disease or lost to early mortality. Europe,Disability-adjusted life years: Years per year lived with disease or lost to early mortality. Africa,"Deaths per year: average or latest year. Global, rounded (not in millions)","Deaths per year: average or latest year. Global, not rounded.",Deaths per year: average or latest year. United States.,Deaths per year: average or latest year. Europe.,Deaths per year: average or latest year. Africa.,Peak fatalities: highest deaths in worst historical year of outbreak. Global except where noted,Year of peak fatalities,Most vulnerable populations. Who gets infected the most?,"Geographical hotspots of disease: nations, areas",Primary treatment,How effective is the treatment listed?,Any resistance of pathogen to treatment noted?
79,COVID-19,Novel Coronavirus,virus,2.0,2%,3,-,-,Low,-,-,"1,100,000,000",-,-,-,-,,,air droplets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anthrax,"(cutaneous, untreated)",bacterium,0.0,20.0%,3,-,-,Moderate,14%,"10,700,000","25,600",0.24,-,-,0.0000,-,"53,500,000",air droplets,10,10,human,4,1-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,"Antibiotics: Penicillin, ciprofloxacin (and other quinolones), doxicyclin, ampicillin, imipenem, clindamycin, clarithromycin, vancomycin, chloramphenicol, rifampicin are effective antimicrobials.",-,-
2,Anthrax,(gastrointestinal),bacterium,0.0,50.0%,3,-,-,High,65%,"10,700,000","25,600",0.24,-,-,0.0000,-,"21,400,000",air droplets,-,-,-,4,2-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,64,"1979 outbreak, Soviet Union",-,-,-,-,-
3,Anthrax,(inhalation),bacterium,0.0,80.0%,3,-,-,Very high,60%,"10,700,000","25,600",0.24,-,-,0.0000,-,"13,375,000",air droplets,"25,000","10,000",human,4,3-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-
4,C. difficile,,bacterium,-,6.3%,2,150,-,Low,1.5%,"1,300,000","2,760",0.21,-,-,-,-,"20,634,921",fecal-oral,100,100,human,-,varies,-,-,"453,000","124,000",-,-,-,-,-,-,-,-,-,-,"7,300","3,700",-,"15,000","US only, 2011",Older adults in hospitals or long-term care facilities who take broad-spectrum antibiotics,-,-,-,-
5,Campylobacter,,bacterium,0.0,0.02%,2,6,28,Virtually zero,0.03%,"3,440,000","5,770",0.17,0,92,0.0000,35,"19,865,128,187",food and water,500,"1,000",human,3,2-4,166,"166,175,078","845,024","240,379",-,-,-,3.7,"3,733,822",-,-,-,"37,200","37,196",76,-,-,-,-,-,-,-,-,-
6,Chickenpox ,(inc. shingles),virus,8.5,0.012%,2,0.2,2,Virtually zero,0.006%,"4,180,000","5,710",0.14,0,335,1.4799,39,-,air droplets,-,-,-,15,10-21,148,"148,162,466","5,301,792","11,326,037","31,844,891",7.6,"7,601,794",0.9,"923,530","18,473","39,852","285,515","12,500","12,472",295,653,"3,948",-,-,-,-,-,-,-
7,Chikungunya,,virus,1.7,0.1%,3,-,-,Very low,2.8%,"7,480,000","39,400",0.53,39,"7,480",0.0419,"56,286","7,480,000,000",bites,-,-,-,3,1-10,0.7,"693,000",-,-,-,-,-,-,-,-,-,-,"1,000","1,000",-,-,-,-,-,-,"Documented in around 40 countries, mainly Asia and Africa. Outbreak in Italy.","No antivirals available. Some drugs have been shown to reduce CHIKV virus in the lab. (interferon-α2b, glycyrrhizin, 6-azauridine and ribavirin)",-,-
